"гетто спорт";2;11;1219;816
"эротика спорт";2;13;3848;844
"герои спорта";2;12;13270;768
"дабл спорт";2;10;1462;717
"л спорт";2;7;11042;722
"тасс спорт";2;10;1099;742
"сов спорт";2;9;1365;722
"спорт кыргызстан";2;16;1267;730
"тт спорт";2;8;2353;718
"гис спорт";2;9;2089;755
"спорт инн";2;9;8951;739
"спорт драйв";2;11;5365;753
"май спорт";2;9;3897;726
"зимний спорт";2;12;175893;758
"день спорта";2;11;60772;754
"прогноз спорт";2;13;107589;721
"палестра спорт";2;14;1678;746
"волга спорт";2;11;11190;763
"музей спорта";2;12;6976;705
"спорт стиль";2;11;11038;653
"профи спорт";2;11;2790;669
"мастер спорт";2;12;172477;677
"крымский спорт";2;14;1066;668
"московский спорт";2;16;24994;671
"виасат спорт";2;12;7047;655
"факел спорт";2;11;2531;692
"танцевальный спорт";2;18;40656;671
"боско спорт";2;11;2321;685
"спорта";1;6;8906054;669
"дон спорт";2;9;16164;697
"4х4 спорт";2;9;1456;686
"спорт тайм";2;10;5049;667
"заниматься спортом";2;18;297328;684
"спорт россии";2;12;136588;700
"нива спорт";2;10;5547;646
"газета спорт";2;12;74628;602
"киа спорт";2;9;4586;616
"монтеро спорт";2;13;33665;624
"история спорта";2;14;36611;604
"результат спорта";2;16;58488;618
"спорт стейшн";2;12;841;603
"р спорт";2;7;7913;632
"анта спорт";2;10;1311;621
"смешарики спорт";2;15;3219;629
"альфа спорт";2;11;5189;617
"hd спорт";2;8;3317;641
"топ спорт";2;9;14139;631
"планета спорта";2;14;33030;604
"спорт 3тв";2;9;702;627
"кмс спорт";2;9;6814;641
"спорт пресса";2;12;3654;600
"на спорте";2;9;8917122;548
"спорт уа";2;8;692;556
"городошный спорт";2;16;4196;565
"фристайл спорт";2;14;5278;551
"квн спорт";2;9;1161;558
"ценности спорта";2;15;27168;549
"экстремальный спорт";2;19;24782;589
"спорт вики";2;10;1530;562
"спорт 18";2;8;11213;580
"спорт дилер";2;11;1977;557
"адаптивный спорт";2;16;13089;597
"бо спорт";2;8;1570;588
"спорт голышом";2;13;1215;550
"департамент спорта";2;18;21747;576
"спорт ливе";2;10;1172;600
"клевер спорт";2;12;5920;548
"занятие спортом";2;15;164596;478
"2к спорт";2;8;1272;491
"спорт он";2;8;8907576;517
"занятия спортом";2;15;164596;487
"экси спорт";2;10;1155;504
"консоль спорт";2;13;4003;485
"дискавери спорт";2;15;14252;526
"витал спорт";2;11;1270;505
"рбк спорт";2;9;2057;519
"капоэйра спорт";2;14;859;498
